,date,open,high,low,close,volume
2078,2023-10-10 15:15:00,176.4,176.5,176.32,176.34,224499
2079,2023-10-10 15:20:00,176.34,176.35,176.12,176.26,749443
2080,2023-10-10 15:25:00,176.25,176.29,176.19,176.2,255774
2081,2023-10-10 15:30:00,176.2,176.31,176.17,176.2,261001
2082,2023-10-10 15:35:00,176.19,176.24,176.11,176.15,1059063
2083,2023-10-10 15:40:00,176.2,176.26,176.16,176.25,283490
2084,2023-10-10 15:45:00,176.25,176.31,176.2,176.29,556884
2085,2023-10-10 15:50:00,176.29,176.35,175.99,176.0,676076
2086,2023-10-10 15:55:00,176.01,176.09,175.88,175.95,1563936
2087,2023-10-11 09:30:00,176.12,176.78,176.11,176.66,1495703
2088,2023-10-11 09:35:00,176.67,176.87,176.65,176.77,601724
2089,2023-10-11 09:40:00,176.79,177.16,176.75,177.08,719971
2090,2023-10-11 09:45:00,176.93,177.23,176.87,176.95,411325
2091,2023-10-11 09:50:00,176.96,176.98,176.34,176.38,928592
2092,2023-10-11 09:55:00,176.39,176.45,176.24,176.32,248390
2093,2023-10-11 10:00:00,176.32,176.35,176.03,176.26,336675
2094,2023-10-11 10:05:00,176.27,176.29,176.1,176.21,294916
2095,2023-10-11 10:10:00,176.21,176.25,175.9,175.9,526881
2096,2023-10-11 10:15:00,175.91,175.99,175.79,175.9,453555
2097,2023-10-11 10:20:00,175.91,175.96,175.58,175.69,565273
2098,2023-10-11 10:25:00,175.7,175.74,175.38,175.72,445360
2099,2023-10-11 10:30:00,175.73,175.79,175.46,175.51,364962
2100,2023-10-11 10:35:00,175.49,175.53,175.29,175.48,396962
2101,2023-10-11 10:40:00,175.49,175.54,175.35,175.53,419881
2102,2023-10-11 10:45:00,175.53,175.54,175.26,175.3,331707
2103,2023-10-11 10:50:00,175.31,175.69,175.31,175.56,581768
2104,2023-10-11 10:55:00,175.55,175.77,175.48,175.77,198072
2105,2023-10-11 11:00:00,175.78,175.92,175.64,175.75,248545
2106,2023-10-11 11:05:00,175.75,175.83,175.69,175.75,123804
2107,2023-10-11 11:10:00,175.75,175.79,175.54,175.59,171970
2108,2023-10-11 11:15:00,175.59,175.59,175.03,175.14,520316
2109,2023-10-11 11:20:00,175.15,175.35,175.05,175.32,293418
2110,2023-10-11 11:25:00,175.33,175.38,175.16,175.24,207408
2111,2023-10-11 11:30:00,175.22,175.43,175.22,175.4,242335
2112,2023-10-11 11:35:00,175.4,175.4,175.26,175.34,264634
2113,2023-10-11 11:40:00,175.35,175.35,175.05,175.07,127485
2114,2023-10-11 11:45:00,175.08,175.32,175.07,175.25,227327
